page,word,pos,word_url,video_url,mp4_path,mp4_bytes,status
2,fire,Noun,https://spreadthesign.com/en.gb/word/899/fire/0/?q=fire,https://media.spreadthesign.com/video/mp4/1/9027.mp4,sts_media/899_fire.mp4,125338,ok
2,fish,Noun,https://spreadthesign.com/en.gb/word/900/fish/0/?q=fish,https://media.spreadthesign.com/video/mp4/1/9039.mp4,sts_media/900_fish.mp4,101644,ok
2,flight,Noun,https://spreadthesign.com/en.gb/word/2789/flight/0/?q=flight,https://media.spreadthesign.com/video/mp4/1/26550.mp4,sts_media/2789_flight.mp4,158628,ok
2,flower,Noun,https://spreadthesign.com/en.gb/word/1406/flower/0/?q=flower,https://media.spreadthesign.com/video/mp4/1/565740.mp4,sts_media/1406_flower.mp4,63029,ok
2,food,Noun,https://spreadthesign.com/en.gb/word/907/food/0/?q=food,https://media.spreadthesign.com/video/mp4/1/9105.mp4,sts_media/907_food.mp4,104088,ok
2,foot,Noun,https://spreadthesign.com/en.gb/word/8067/foot/0/?q=foot,https://media.spreadthesign.com/video/mp4/1/596461.mp4,sts_media/8067_foot.mp4,59226,ok
2,France,Noun,https://spreadthesign.com/en.gb/word/1609/france/0/?q=France,https://media.spreadthesign.com/video/mp4/1/15985.mp4,sts_media/1609_france.mp4,78480,ok
2,Friday,Noun,https://spreadthesign.com/en.gb/word/435/friday/0/?q=Friday,https://media.spreadthesign.com/video/mp4/1/4273.mp4,sts_media/435_friday.mp4,125627,ok
2,friend,Noun,https://spreadthesign.com/en.gb/word/419/friend/0/?q=friend,https://media.spreadthesign.com/video/mp4/1/4112.mp4,sts_media/419_friend.mp4,112500,ok
2,garment,Noun,https://spreadthesign.com/en.gb/word/10432/garment/0/?q=garment,https://media.spreadthesign.com/video/mp4/1/301357.mp4,sts_media/10432_garment.mp4,73171,ok
2,Germany,Noun,https://spreadthesign.com/en.gb/word/23091/germany/0/?q=Germany,,,0,no_video
2,girl,Noun,https://spreadthesign.com/en.gb/word/418/girl/0/?q=girl,https://media.spreadthesign.com/video/mp4/1/4100.mp4,sts_media/418_girl.mp4,94928,ok
2,girlfriend,Noun,https://spreadthesign.com/en.gb/word/1291/girlfriend/0/?q=girlfriend,https://media.spreadthesign.com/video/mp4/1/12768.mp4,sts_media/1291_girlfriend.mp4,73535,ok
2,glasses,Noun,https://spreadthesign.com/en.gb/word/392/glasses/0/?q=glasses,https://media.spreadthesign.com/video/mp4/1/3847.mp4,sts_media/392_glasses.mp4,148665,ok
2,good,Adjective,https://spreadthesign.com/en.gb/word/7942/good/0/?q=good,https://media.spreadthesign.com/video/mp4/1/90506.mp4,sts_media/7942_good.mp4,106588,ok
